Time,Vref_1,V7,D_1,portadora,Vout
2e-007,1,0,0.00147822,0.05,7.23081e-008
4e-007,1,1.1976e-006,0.00293745,0.1,1.44415e-007
6e-007,1,1.2e-006,0.00441567,0.15,2.16159e-007
8e-007,1,1.19761e-006,0.00589396,0.2,2.87542e-007
1e-006,1,1.19999e-006,0.00737218,0.25,3.58565e-007
1.2e-006,1,1.19761e-006,0.00885048,0.3,4.2923e-007
1.4e-006,1,1.19999e-006,0.0103287,0.35,4.9954e-007
1.6e-006,1,1.19762e-006,0.011807,0.4,5.69495e-007
1.8e-006,1,1.19998e-006,0.0132852,0.45,6.39097e-007
2e-006,1,1.19762e-006,0.0147635,0.5,7.08349e-007
2.2e-006,1,1.19998e-006,0.0162417,0.55,7.77252e-007
2.4e-006,1,1.19763e-006,0.01772,0.6,8.45808e-007
2.6e-006,1,1.19997e-006,0.0191982,0.65,9.14019e-007
2.8e-006,1,1.19763e-006,0.0206765,0.7,9.81886e-007
3e-006,1,1.19997e-006,0.0221548,0.75,1.04941e-006
3.2e-006,1,1.19764e-006,0.023633,0.8,1.1166e-006
3.4e-006,1,1.19996e-006,0.0251113,0.85,1.18344e-006
3.6e-006,1,1.19764e-006,0.0265896,0.9,1.24995e-006
3.8e-006,1,1.19996e-006,0.0280678,0.95,1.31613e-006
4e-006,1,1.19765e-006,0.0295461,1,1.38197e-006
4.2e-006,1,1.19995e-006,0.0310243,0.05,1.44748e-006
4.4e-006,1,1.19765e-006,0.0325026,0.1,1.51266e-006
4.6e-006,1,1.19995e-006,0.0339808,0.15,1.57751e-006
4.8e-006,1,1.19766e-006,0.0354591,0.2,1.64203e-006
5e-006,1,1.19994e-006,0.0369373,0.25,1.70623e-006
5.2e-006,1,1.19766e-006,0.0384156,0.3,1.77011e-006
5.4e-006,1,1.19994e-006,0.0398938,0.35,1.83366e-006
5.6e-006,1,1.19766e-006,0.0413721,0.4,1.8969e-006
5.8e-006,1,1.19993e-006,0.0428503,0.45,1.95981e-006
