Time,D_pedro,portadora_pedro,Vref,Vc
1e-007,0.184778,0.025,5,2.72269e-005
2e-007,0.185703,0.05,5,9.06798e-005
3e-007,0.186627,0.075,5,0.000181245
4e-007,0.18755,0.1,5,0.000307899
5e-007,0.188473,0.125,5,0.000470551
6e-007,0.189396,0.15,5,0.000669108
7e-007,0.190317,0.175,5,0.000903481
8e-007,0.191238,0.2,5,0.00117526
9e-007,0.191822,0.225,5,0.00144944
1e-006,0.191817,0.25,5,0.0017231
1.1e-006,0.191812,0.275,5,0.00199606
1.2e-006,0.191807,0.3,5,0.00226832
1.3e-006,0.191802,0.325,5,0.00253989
1.4e-006,0.191797,0.35,5,0.00281077
1.5e-006,0.191792,0.375,5,0.00308096
1.6e-006,0.191787,0.4,5,0.00335046
1.7e-006,0.191782,0.425,5,0.00361926
1.8e-006,0.191777,0.45,5,0.00388738
1.9e-006,0.191772,0.475,5,0.00415481
2e-006,0.191767,0.5,5,0.00442156
2.1e-006,0.191761,0.525,5,0.00468761
2.2e-006,0.191756,0.55,5,0.00495298
2.3e-006,0.191751,0.575,5,0.00521767
2.4e-006,0.191746,0.6,5,0.00548168
2.5e-006,0.191741,0.625,5,0.005745
2.6e-006,0.191736,0.65,5,0.00600764
2.7e-006,0.191731,0.675,5,0.0062696
2.8e-006,0.191725,0.7,5,0.00653088
2.9e-006,0.19172,0.725,5,0.00679148
3e-006,0.191715,0.75,5,0.0070514
3.1e-006,0.19171,0.775,5,0.00731065
3.2e-006,0.191705,0.8,5,0.00756922
3.3e-006,0.1917,0.825,5,0.00782711
3.4e-006,0.191694,0.85,5,0.00808433
3.5e-006,0.191689,0.875,5,0.00834088
3.6e-006,0.191684,0.9,5,0.00859676
3.7e-006,0.191679,0.925,5,0.00885196
3.8e-006,0.191673,0.95,5,0.0091065
3.9e-006,0.191668,0.975,5,0.00936036
4e-006,0.191663,1,5,0.00961356
4.1e-006,0.191658,0.025,5,0.00989315
4.2e-006,0.192577,0.05,5,0.0102083
4.3e-006,0.193496,0.075,5,0.0105501
4.4e-006,0.194414,0.1,5,0.0109272
4.5e-006,0.195332,0.125,5,0.0113398
4.6e-006,0.196249,0.15,5,0.0117875
4.7e-006,0.197165,0.175,5,0.0122704
4.8e-006,0.198081,0.2,5,0.0127898
4.9e-006,0.198922,0.225,5,0.0133214
5e-006,0.198912,0.25,5,0.0138519
5.1e-006,0.198901,0.275,5,0.014381
5.2e-006,0.198891,0.3,5,0.0149088
5.3e-006,0.19888,0.325,5,0.0154351
5.4e-006,0.19887,0.35,5,0.0159602
5.5e-006,0.198859,0.375,5,0.0164838
5.6e-006,0.198849,0.4,5,0.017006
5.7e-006,0.198838,0.425,5,0.0175269
5.8e-006,0.198827,0.45,5,0.0180465
5.9e-006,0.198817,0.475,5,0.0185646
6e-006,0.198806,0.5,5,0.0190814
6.1e-006,0.198795,0.525,5,0.0195969
6.2e-006,0.198785,0.55,5,0.0201109
6.3e-006,0.198774,0.575,5,0.0206237
6.4e-006,0.198763,0.6,5,0.021135
6.5e-006,0.198752,0.625,5,0.021645
6.6e-006,0.198742,0.65,5,0.0221537
6.7e-006,0.198731,0.675,5,0.022661
6.8e-006,0.19872,0.7,5,0.023167
6.9e-006,0.198709,0.725,5,0.0236716
7e-006,0.198698,0.75,5,0.0241749
7.1e-006,0.198687,0.775,5,0.0246768
7.2e-006,0.198677,0.8,5,0.0251774
7.3e-006,0.198666,0.825,5,0.0256766
7.4e-006,0.198655,0.85,5,0.0261745
7.5e-006,0.198644,0.875,5,0.0266711
7.6e-006,0.198633,0.9,5,0.0271664
7.7e-006,0.198622,0.925,5,0.0276603
7.8e-006,0.198611,0.95,5,0.0281528
7.9e-006,0.1986,0.975,5,0.0286441
8e-006,0.198589,1,5,0.029134
8.1e-006,0.198578,0.025,5,0.0296495
8.2e-006,0.199492,0.05,5,0.0301999
8.3e-006,0.200405,0.075,5,0.0307765
8.4e-006,0.201318,0.1,5,0.0313878
8.5e-006,0.20223,0.125,5,0.0320338
8.6e-006,0.203141,0.15,5,0.0327143
8.7e-006,0.204052,0.175,5,0.0334294
8.8e-006,0.204961,0.2,5,0.0341789
8.9e-006,0.205871,0.225,5,0.0349536
9e-006,0.206045,0.25,5,0.0357242
9.1e-006,0.206028,0.275,5,0.0364932
9.2e-006,0.206012,0.3,5,0.0372601
9.3e-006,0.205995,0.325,5,0.0380251
9.4e-006,0.205979,0.35,5,0.0387879
9.5e-006,0.205962,0.375,5,0.0395488
9.6e-006,0.205945,0.4,5,0.0403076
9.7e-006,0.205929,0.425,5,0.0410644
9.8e-006,0.205912,0.45,5,0.0418191
9.9e-006,0.205895,0.475,5,0.0425718
1e-005,0.205879,0.5,5,0.0433225
1.01e-005,0.205862,0.525,5,0.0440711
1.02e-005,0.205845,0.55,5,0.0448177
1.03e-005,0.205828,0.575,5,0.0455623
1.04e-005,0.205812,0.6,5,0.0463049
1.05e-005,0.205795,0.625,5,0.0470455
1.06e-005,0.205778,0.65,5,0.0477841
1.07e-005,0.205761,0.675,5,0.0485207
1.08e-005,0.205744,0.7,5,0.0492552
1.09e-005,0.205727,0.725,5,0.0499878
1.1e-005,0.20571,0.75,5,0.0507183
1.11e-005,0.205693,0.775,5,0.0514469
1.12e-005,0.205676,0.8,5,0.0521735
1.13e-005,0.205659,0.825,5,0.052898
