Time,gate,Duty_moduladora,Vref_hs,Vout,V_port,D_pedro,Vref_pedro,portadora_pedro,V6,Vref_hst,V8
1e-006,0,0.600072,10,3.56721e-007,0.1,0.0931752,5,0.1,0.300036,5,0.1
2e-006,0,0.604889,10,7.06855e-007,0.2,0.0962695,5,0.2,0.302444,5,0.2
3e-006,0,0.609802,10,1.04826e-006,0.3,0.0993637,5,0.3,0.304901,5,0.3
4e-006,0,0.614808,10,1.38115e-006,0.4,0.102458,5,0.4,0.307404,5,0.4
5e-006,0,0.619907,10,1.70574e-006,0.5,0.105552,5,0.5,0.309954,5,0.5
6e-006,0,0.625097,10,2.02223e-006,0.6,0.108646,5,0.6,0.312549,5,0.6
7e-006,0,0.630377,10,2.33083e-006,0.7,0.111741,5,0.7,0.315188,5,0.7
8e-006,0,0.635744,10,2.63173e-006,0.8,0.114835,5,0.8,0.317872,5,0.8
9e-006,0,0.641197,10,2.92514e-006,0.9,0.117929,5,0.9,0.320598,5,0.9
1e-005,0,0.646735,10,3.21122e-006,1,0.121023,5,1,0.323367,5,1
1.1e-005,1,0.652356,10,0.00268487,0.1,0.124117,5,0.1,0.326178,5,0.1
1.2e-005,0,0.657899,10,0.00749683,0.2,0.127162,5,0.2,0.328869,5,0.2
1.3e-005,0,0.663392,10,0.0117624,0.3,0.130165,5,0.3,0.33147,5,0.3
1.4e-005,0,0.668995,10,0.0159454,0.4,0.133175,5,0.4,0.334142,5,0.4
1.5e-005,0,0.674679,10,0.0200193,0.5,0.136184,5,0.5,0.336856,5,0.5
1.6e-005,0,0.680443,10,0.0239857,0.6,0.139192,5,0.6,0.339612,5,0.6
1.7e-005,0,0.686287,10,0.027846,0.7,0.1422,5,0.7,0.342409,5,0.7
1.8e-005,0,0.692208,10,0.0316016,0.8,0.145208,5,0.8,0.345248,5,0.8
1.9e-005,0,0.698207,10,0.0352542,0.9,0.148215,5,0.9,0.348128,5,0.9
2e-005,0,0.70428,10,0.0388052,1,0.151221,5,1,0.351047,5,1
2.1e-005,1,0.710428,10,0.044913,0.1,0.154227,5,0.1,0.354005,5,0.1
2.2e-005,0,0.716489,10,0.0540904,0.2,0.157184,5,0.2,0.356842,5,0.2
2.3e-005,0,0.72243,10,0.0626678,0.3,0.160079,5,0.3,0.359525,5,0.3
2.4e-005,0,0.728469,10,0.0710703,0.4,0.16298,5,0.4,0.362273,5,0.4
2.5e-005,0,0.734578,10,0.0792422,0.5,0.165879,5,0.5,0.365059,5,0.5
2.6e-005,0,0.740762,10,0.0871865,0.6,0.168777,5,0.6,0.367887,5,0.6
2.7e-005,0,0.747017,10,0.0949066,0.7,0.171674,5,0.7,0.370755,5,0.7
2.8e-005,0,0.753343,10,0.102406,0.8,0.174571,5,0.8,0.373663,5,0.8
2.9e-005,0,0.759739,10,0.109687,0.9,0.177466,5,0.9,0.376611,5,0.9
3e-005,0,0.766203,10,0.116755,1,0.180361,5,1,0.379597,5,1
3.1e-005,1,0.772735,10,0.12624,0.1,0.183256,5,0.1,0.38262,5,0.1
3.2e-005,0,0.779175,10,0.139109,0.2,0.186101,5,0.2,0.385524,5,0.2
3.3e-005,0,0.785463,10,0.151903,0.3,0.188878,5,0.3,0.388247,5,0.3
3.4e-005,0,0.791804,10,0.164423,0.4,0.191647,5,0.4,0.390995,5,0.4
3.5e-005,0,0.798209,10,0.176582,0.5,0.194414,5,0.5,0.39378,5,0.5
3.6e-005,0,0.804683,10,0.188385,0.6,0.19718,5,0.6,0.396606,5,0.6
3.7e-005,0,0.811223,10,0.199838,0.7,0.199945,5,0.7,0.399472,5,0.7
3.8e-005,0,0.81783,10,0.210944,0.8,0.202709,5,0.8,0.402379,5,0.8
3.9e-005,0,0.824501,10,0.221711,0.9,0.205473,5,0.9,0.405325,5,0.9
4e-005,0,0.831236,10,0.232143,1,0.208236,5,1,0.408309,5,1
4.1e-005,1,0.838034,10,0.244846,0.1,0.210999,5,0.1,0.411332,5,0.1
4.2e-005,1,0.844737,10,0.260728,0.2,0.213712,5,0.2,0.414235,5,0.2
4.3e-005,0,0.851289,10,0.277678,0.3,0.216359,5,0.3,0.416964,5,0.3
4.4e-005,0,0.857814,10,0.29397,0.4,0.218976,5,0.4,0.419642,5,0.4
4.5e-005,0,0.864415,10,0.30989,0.5,0.221595,5,0.5,0.422373,5,0.5
4.6e-005,0,0.871073,10,0.325322,0.6,0.224211,5,0.6,0.425139,5,0.6
4.7e-005,0,0.877795,10,0.340271,0.7,0.226826,5,0.7,0.427946,5,0.7
4.8e-005,0,0.88458,10,0.354745,0.8,0.22944,5,0.8,0.430794,5,0.8
4.9e-005,0,0.891427,10,0.368752,0.9,0.232054,5,0.9,0.433683,5,0.9
5e-005,0,0.898334,10,0.3823,1,0.234667,5,1,0.436611,5,1
5.1e-005,1,0.905301,10,0.397966,0.1,0.237281,5,0.1,0.439578,5,0.1
5.2e-005,1,0.912173,10,0.416691,0.2,0.239847,5,0.2,0.442429,5,0.2
5.3e-005,0,0.91889,10,0.437279,0.3,0.242346,5,0.3,0.445105,5,0.3
5.4e-005,0,0.925523,10,0.457114,0.4,0.244798,5,0.4,0.447678,5,0.4
5.5e-005,0,0.932227,10,0.476476,0.5,0.247252,5,0.5,0.450303,5,0.5
5.6e-005,0,0.938985,10,0.495213,0.6,0.249703,5,0.6,0.452962,5,0.6
5.7e-005,0,0.945804,10,0.513334,0.7,0.252153,5,0.7,0.455664,5,0.7
5.8e-005,0,0.952685,10,0.530849,0.8,0.254603,5,0.8,0.45841,5,0.8
5.9e-005,0,0.959626,10,0.547769,0.9,0.257053,5,0.9,0.461197,5,0.9
6e-005,0,0.966626,10,0.564103,1,0.259504,5,1,0.464025,5,1
