Time,gate,Duty_moduladora,Vref_hs,Vout,V_port,D_pedro,Vref_pedro,portadora_pedro,V6,Vref_hst,V8
1e-006,1,0.600072,10,0.00268174,0.1,0.0931752,5,0.1,0.300036,5,0.1
2e-006,1,0.604728,10,0.008864,0.2,0.0962195,5,0.2,0.302284,5,0.2
3e-006,1,0.609268,10,0.0176159,0.3,0.0991969,5,0.3,0.304368,5,0.3
4e-006,0,0.613746,10,0.0280978,0.4,0.102123,5,0.4,0.306341,5,0.4
5e-006,0,0.618207,10,0.0382443,0.5,0.105011,5,0.5,0.308253,5,0.5
6e-006,0,0.622775,10,0.0481922,0.6,0.107898,5,0.6,0.310226,5,0.6
7e-006,0,0.627438,10,0.0578776,0.7,0.110783,5,0.7,0.31225,5,0.7
8e-006,0,0.6322,10,0.0673041,0.8,0.113667,5,0.8,0.314328,5,0.8
9e-006,0,0.637058,10,0.0764755,0.9,0.11655,5,0.9,0.31646,5,0.9
1e-005,0,0.642012,10,0.0853952,1,0.119432,5,1,0.318644,5,1
1.1e-005,1,0.647058,10,0.0966877,0.1,0.122312,5,0.1,0.32088,5,0.1
1.2e-005,1,0.65204,10,0.111238,0.2,0.125143,5,0.2,0.32301,5,0.2
1.3e-005,1,0.656899,10,0.128178,0.3,0.127907,5,0.3,0.324978,5,0.3
1.4e-005,0,0.661687,10,0.147424,0.4,0.130616,5,0.4,0.326834,5,0.4
1.5e-005,0,0.666405,10,0.165958,0.5,0.133273,5,0.5,0.328582,5,0.5
1.6e-005,0,0.671232,10,0.184108,0.6,0.13593,5,0.6,0.3304,5,0.6
1.7e-005,0,0.676146,10,0.20175,0.7,0.138584,5,0.7,0.332269,5,0.7
1.8e-005,0,0.681154,10,0.218891,0.8,0.141235,5,0.8,0.334195,5,0.8
1.9e-005,0,0.686255,10,0.23554,0.9,0.143885,5,0.9,0.336176,5,0.9
2e-005,0,0.691447,10,0.251703,1,0.146534,5,1,0.338213,5,1
2.1e-005,1,0.696728,10,0.269952,0.1,0.149181,5,0.1,0.340305,5,0.1
2.2e-005,1,0.701942,10,0.291234,0.2,0.151779,5,0.2,0.342296,5,0.2
2.3e-005,1,0.707032,10,0.314739,0.3,0.15431,5,0.3,0.344127,5,0.3
2.4e-005,0,0.712041,10,0.340846,0.4,0.156786,5,0.4,0.345846,5,0.4
2.5e-005,0,0.716947,10,0.366137,0.5,0.159199,5,0.5,0.347428,5,0.5
2.6e-005,0,0.72195,10,0.390872,0.6,0.161611,5,0.6,0.349075,5,0.6
2.7e-005,0,0.727034,10,0.414874,0.7,0.164017,5,0.7,0.350773,5,0.7
2.8e-005,0,0.73221,10,0.438152,0.8,0.166423,5,0.8,0.35253,5,0.8
2.9e-005,0,0.737475,10,0.46072,0.9,0.168826,5,0.9,0.354347,5,0.9
3e-005,0,0.742828,10,0.482586,1,0.171229,5,1,0.356221,5,1
3.1e-005,1,0.748267,10,0.506275,0.1,0.17363,5,0.1,0.358153,5,0.1
3.2e-005,1,0.753641,10,0.532791,0.2,0.175985,5,0.2,0.35999,5,0.2
3.3e-005,1,0.758887,10,0.561379,0.3,0.178271,5,0.3,0.36167,5,0.3
3.4e-005,0,0.764047,10,0.592682,0.4,0.180503,5,0.4,0.363238,5,0.4
3.5e-005,0,0.769081,10,0.623236,0.5,0.182667,5,0.5,0.364651,5,0.5
3.6e-005,0,0.774195,10,0.653077,0.6,0.184825,5,0.6,0.366118,5,0.6
3.7e-005,0,0.779385,10,0.681979,0.7,0.186977,5,0.7,0.367634,5,0.7
3.8e-005,0,0.784664,10,0.709956,0.8,0.189129,5,0.8,0.369213,5,0.8
3.9e-005,0,0.790031,10,0.737023,0.9,0.191279,5,0.9,0.370855,5,0.9
4e-005,0,0.795484,10,0.763194,1,0.19343,5,1,0.372557,5,1
4.1e-005,1,0.801022,10,0.79095,0.1,0.19558,5,0.1,0.37432,5,0.1
4.2e-005,1,0.806495,10,0.821347,0.2,0.197685,5,0.2,0.375993,5,0.2
4.3e-005,1,0.811839,10,0.853677,0.3,0.199723,5,0.3,0.377513,5,0.3
4.4e-005,0,0.817092,10,0.88873,0.4,0.201707,5,0.4,0.37892,5,0.4
4.5e-005,0,0.822207,10,0.923192,0.5,0.20362,5,0.5,0.380165,5,0.5
4.6e-005,0,0.82738,10,0.956801,0.6,0.205522,5,0.6,0.381445,5,0.6
4.7e-005,0,0.832625,10,0.989285,0.7,0.207418,5,0.7,0.382775,5,0.7
4.8e-005,0,0.837958,10,1.02066,0.8,0.209315,5,0.8,0.384172,5,0.8
4.9e-005,0,0.843378,10,1.05095,0.9,0.211212,5,0.9,0.385634,5,0.9
